Año,Min,FG %,3PT%,FT%,Receptions,Assists,BLK(Tapones),STL(Recoveries),PF(Personal Faults),TO(Ball Lost),WinBinary,LocalPoints,VisitorPoints,LebronTeamPoints,OtherTeamPoints,Local_Binary,FG_made,FG_attempted,FT_made,FT_attempted,3PTS_made,3PTS_attempted,AñoMes,Año_rolling_mean_4,FG %_rolling_mean_4,3PT%_rolling_mean_4,FT%_rolling_mean_4,Receptions_rolling_mean_4,Assists_rolling_mean_4,BLK(Tapones)_rolling_mean_4,STL(Recoveries)_rolling_mean_4,PF(Personal Faults)_rolling_mean_4,TO(Ball Lost)_rolling_mean_4,PTS_rolling_mean_4,WinBinary_rolling_mean_4,LocalPoints_rolling_mean_4,VisitorPoints_rolling_mean_4,LebronTeamPoints_rolling_mean_4,OtherTeamPoints_rolling_mean_4,Local_Binary_rolling_mean_4,FG_made_rolling_mean_4,FG_attempted_rolling_mean_4,FT_made_rolling_mean_4,FT_attempted_rolling_mean_4,3PTS_made_rolling_mean_4,3PTS_attempted_rolling_mean_4,three_point_ratio,free_throw_ratio,lebron_team_points_ratio,three_point_ratio_rolling_mean_4,free_throw_ratio_rolling_mean_4,lebron_team_points_ratio_rolling_mean_4,PTS_next_match
2017,41,0.632,0.2,1.0,16,9,2,0,3.0,4.0,1,102,99,99,102,1,12,19,4,4,1,5,2017-10,2017.0,0.5974999999999999,0.38325,0.83325,8.75,8.0,2.0,0.5,1.5,4.5,26.0,0.5,111.0,99.0,105.5,104.5,0.5,10.5,17.5,3.75,5.0,1.25,3.5,0.2,1.0,0.29292929292929293,0.3833333333333333,0.8333333333333334,0.2480657502276466,24.0
2017,37,0.625,0.5,1.0,5,8,1,1,2.0,5.0,1,116,97,97,116,1,10,16,2,2,2,4,2017-10,2017.0,0.5562499999999999,0.39575,0.83325,7.25,7.5,1.5,1.0,1.25,4.5,22.75,0.25,114.0,98.0,109.25,102.75,0.25,9.25,16.5,3.0,4.25,1.25,3.25,0.5,1.0,0.24742268041237114,0.3958333333333333,0.8333333333333334,0.20992114629356898,22.0
2017,31,0.5329999999999999,0.33299999999999996,0.833,4,2,1,1,0.0,1.0,0,114,93,114,93,0,8,15,5,6,1,3,2017-10,2017.0,0.5589999999999999,0.32075,0.78325,7.5,8.25,1.5,1.25,1.0,5.25,25.0,0.0,116.0,100.5,116.0,100.5,0.0,10.25,18.0,3.5,5.0,1.0,3.5,0.3333333333333333,0.8333333333333334,0.19298245614035087,0.3208333333333333,0.7833333333333333,0.21459773425499232,29.0
2017,41,0.6,0.5,0.5,10,13,4,0,1.0,8.0,0,112,107,112,107,0,12,20,4,8,1,2,2017-10,2017.0,0.5947499999999999,0.3625,0.825,9.25,9.5,1.75,1.75,1.5,5.75,33.75,0.25,120.0,107.75,118.0,109.75,0.25,14.0,22.75,4.5,5.75,1.25,3.75,0.5,0.5,0.25892857142857145,0.3625,0.825,0.28315539890842917,16.0
2017,39,0.467,0.25,1.0,10,7,0,2,2.0,4.0,0,114,95,114,95,0,7,15,1,1,1,4,2017-10,2017.0,0.59175,0.2375,0.95,8.0,9.5,1.25,2.0,2.25,5.25,33.0,0.25,121.25,109.75,119.25,111.75,0.25,13.5,22.0,5.0,5.25,1.0,4.0,0.25,1.0,0.14035087719298245,0.2375,0.95,0.2739788116068419,33.0
2017,37,0.636,0.2,0.8,6,11,1,2,1.0,8.0,0,124,107,124,107,0,14,22,4,5,1,5,2017-11,2017.0,0.6,0.3,0.8999999999999999,7.5,10.0,1.25,2.25,2.0,4.5,36.5,0.5,123.75,115.75,120.5,119.0,0.5,14.25,23.25,6.75,7.5,1.25,4.0,0.2,0.8,0.2661290322580645,0.3,0.9,0.3019163023926299,57.0
2017,43,0.6759999999999999,0.5,1.0,11,7,2,3,2.0,3.0,1,130,122,122,130,1,23,34,9,9,2,4,2017-11,2017.0,0.59725,0.3125,0.86675,7.0,9.0,1.25,2.0,2.75,4.5,36.5,0.5,122.0,117.25,118.75,120.5,0.5,14.5,23.75,6.25,7.0,1.25,3.75,0.5,1.0,0.4672131147540984,0.3125,0.8666666666666667,0.30589686484093426,26.0
2017,41,0.588,0.0,1.0,5,13,2,1,4.0,6.0,0,117,115,117,115,0,10,17,6,6,0,3,2017-11,2017.0,0.5355,0.27075,0.80425,7.0,8.25,1.0,1.25,3.0,5.25,27.0,0.5,117.25,112.75,114.25,115.75,0.5,10.25,18.75,5.5,6.75,1.0,3.5,0.0,1.0,0.2222222222222222,0.27083333333333337,0.8041666666666667,0.2347666630754866,30.0
2017,37,0.5,0.5,0.8,8,9,0,3,1.0,1.0,1,124,119,119,124,1,10,20,8,10,2,4,2017-11,2017.0,0.5135000000000001,0.39575,0.72925,8.0,8.0,1.25,1.0,2.25,5.0,26.25,0.75,114.0,109.25,110.25,113.0,0.75,9.5,18.0,5.75,7.75,1.5,3.75,0.5,0.8,0.25210084033613445,0.39583333333333337,0.7291666666666666,0.236141800589238,33.0
2017,40,0.625,0.25,0.667,4,7,1,1,4.0,8.0,0,117,113,117,113,0,15,24,2,3,1,4,2017-11,2017.0,0.5135000000000001,0.4135,0.77925,7.5,7.75,1.5,0.75,3.0,5.5,26.5,0.75,111.75,106.25,107.25,110.75,0.75,10.0,19.0,4.5,6.0,2.0,4.5,0.25,0.6666666666666666,0.28205128205128205,0.41369047619047616,0.7791666666666666,0.24554649704726045,19.0
